"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$481,479,420,808","4.77%","10.64%","1.20%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$128,606,643,831","1.27%","7.40%","2.22%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$318,829,363,408","3.16%","6.09%","2.34%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$153,297,305,884","1.52%","5.69%","2.67%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$200,215,395,117","1.98%","5.39%","2.00%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$1,801,597,069,442","17.85%","4.75%","1.05%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$119,923,131,766","1.19%","4.54%","1.99%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$144,219,841,986","1.43%","4.20%","1.83%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$398,858,570,757","3.95%","4.02%","0.74%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$42,869,192,748","0.42%","3.58%","1.96%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$355,963,519,933","3.53%","3.54%","3.05%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$102,598,693,780","1.02%","3.47%","0.00%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$457,168,603,520","4.53%","3.41%","2.48%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$149,690,000,000","1.48%","3.06%","0.00%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$112,563,133,325","1.12%","3.03%","1.31%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,397,671,544,960","23.76%","2.87%","0.60%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$401,707,214,676","3.98%","2.78%","1.50%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$336,045,310,057","3.33%","2.76%","2.54%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$132,083,820,371","1.31%","2.76%","4.43%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$388,766,975,856","3.85%","2.64%","2.99%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$70,281,261,642","0.70%","2.52%","4.61%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$259,396,362,100","2.57%","1.99%","2.66%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$164,361,600,000","1.63%","1.94%","1.15%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$166,718,633,707","1.65%","1.77%","0.00%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$262,541,200,257","2.60%","1.19%","2.84%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$35,279,452,155","0.35%","0.98%","5.49%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$191,431,049,741","1.90%","0.89%","3.21%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$34,704,949,342","0.34%","0.75%","4.69%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$160,265,033,778","1.59%","0.75%","6.60%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$123,356,030,000","1.22%","0.58%","4.80%","USA","Analyze"
